title,category,description,tags,url
VS Code,Software,Visual Studio Code is a lightweight but powerful source code editor which runs on your desktop. Features debugging Git control extensions and more.,code editor programming development IDE free,https://code.visualstudio.com/
GitHub,Software,GitHub is where over 100 million developers shape the future of software together. Host version control and collaborate on code.,version control git collaboration open-source devops,https://github.com/
Docker,Software,Docker is a platform for developing shipping and running applications in containers. Ensures consistency across environments.,containerization devops deployment infrastructure,https://www.docker.com/
Postman,Software,Postman is an API platform for building and using APIs. Simplifies each step of the API lifecycle and streamlines collaboration.,API testing development REST HTTP,https://www.postman.com/
Figma,Software,Figma is a collaborative web application for interface design. Create prototypes wireframes and design systems.,design UI UX prototyping collaboration,https://www.figma.com/
Jupyter Notebook,Software,The Jupyter Notebook is an open-source web application for creating documents that contain live code equations visualizations.,data science python machine learning notebook,https://jupyter.org/
Tableau,Software,Tableau helps people transform data into actionable insights that make an impact. Create beautiful and interactive data visualizations.,data visualization analytics business intelligence,https://www.tableau.com/
Slack,Software,Slack is a messaging platform that brings all your team's communication together. Channels direct messages and integrations.,team communication collaboration messaging productivity,https://slack.com/
Notion,Software,Notion is an all-in-one workspace where you can write plan collaborate and get organized. Notes wikis databases and more.,productivity notes collaboration workspace organization,https://www.notion.so/
TensorFlow,Software,An end-to-end open source platform for machine learning. Comprehensive flexible ecosystem of tools libraries and resources.,machine learning deep learning AI python open-source,https://www.tensorflow.org/
PyTorch,Software,An open source machine learning framework that accelerates the path from research prototyping to production deployment.,machine learning deep learning AI python research,https://pytorch.org/
Kubernetes,Software,Kubernetes is an open-source system for automating deployment scaling and management of containerized applications.,devops containers orchestration cloud infrastructure,https://kubernetes.io/
Terraform,Software,Terraform is an infrastructure as code tool that lets you define cloud and on-prem resources in human-readable config files.,infrastructure cloud IaC devops automation,https://www.terraform.io/
Adobe Photoshop,Software,Adobe Photoshop is a raster graphics editor. The industry standard for photo editing digital art and graphic design.,graphic design photo editing creative adobe,https://www.adobe.com/products/photoshop.html
Adobe Illustrator,Software,Adobe Illustrator is a vector graphics editor. Create logos illustrations and complex artwork for print and digital media.,graphic design vector illustration creative adobe,https://www.adobe.com/products/illustrator.html
Linux Ubuntu,Software,Ubuntu is the most popular desktop Linux distribution. Free open-source OS for developers servers and desktop users.,linux operating system open-source server development,https://ubuntu.com/
MySQL,Software,MySQL is the world's most popular open source relational database management system. Used by millions of applications.,database SQL relational open-source web development,https://www.mysql.com/
MongoDB,Software,MongoDB is a document database with the scalability and flexibility that you want with querying and indexing that you need.,database NoSQL document flexible web development,https://www.mongodb.com/
Nginx,Software,Nginx is a web server that can also be used as a reverse proxy load balancer mail proxy and HTTP cache.,web server deployment infrastructure performance,https://www.nginx.com/
Obsidian,Software,Obsidian is a powerful and extensible knowledge base that works on top of a local folder of plain text Markdown files.,note-taking knowledge management markdown productivity,https://obsidian.md/
Blender,Software,Blender is a free and open source 3D creation suite. Supports modeling rigging animation simulation rendering compositing.,3D modeling animation visual effects creative open-source,https://www.blender.org/
Wireshark,Software,Wireshark is the world's foremost and widely-used network protocol analyzer. Capture and analyze network traffic.,networking cybersecurity analysis protocol security,https://www.wireshark.org/
Kali Linux,Software,Kali Linux is an open-source Debian-based Linux distribution aimed at advanced penetration testing and security auditing.,cybersecurity penetration testing ethical hacking security linux,https://www.kali.org/
ChatGPT,Software,ChatGPT is an AI-powered chatbot developed by OpenAI. Generate text answer questions write code and much more.,AI chatbot productivity writing code generation,https://chat.openai.com/
Midjourney,Software,Midjourney is an AI image generation tool that creates stunning visuals from text descriptions. Used for art design and creativity.,AI image generation art creative design,https://www.midjourney.com/
